id,Convert Video to Mp3 Plus,Word Connect : Wordscapes 2021,Skat LITE,Color Splash for iPad,Medication Reminder & Refills,SHIFTAR: Work schedule planner,Wallpapers for Roblox Robux HD,SongShift,Teleprompter Pro 2,Forbidden Desert,Easy Calendar,NICU2HOME: Supporting Preemies,Toddler games: for 2 year olds,Dialup: Reviving the Phone,Astrolis Horoscopes & Tarot,Immediate Contact Transfer,MCECU Mobile,Atlantic Aviation,Mechanics Bank Mobile Banking,FGTeeV Goozy,Lirica - Learn Languages,Book of the Month,Office Design 3D,Take a Name LDS Family History,Cats and Sharks,Journey Planner / Map -Transit,Webull: Investing & Trading,Idle Skies,Nyjah Huston: #Skatelife,Hidden Expedition: Mithridates,Barcos Pro - Barcode Scanner,GDI Mobile,Lugmety,Five Nights at Freddy's 4,Five Suits Lite,Kawa & Khaje,Lathe Machine 3D,Sudoku ▦,Hidden Objects Game - Romance,Circle Pool,Valentine's Day & Love Frames,CREATIFY - Art Coloring Game,Dungeon Corporation,Multifly: Multiplication Game,XAPiT,Twins Babysitter Daycare Game,Mr Spy - Bullet Agent,Learn 3 Letter Words Spelling,NRLFCU Mobile Banking,RadarBox · Live Flight Tracker
16.0,,,2.0,,5.0,5.0,1.0,,3.0,1.0,1.0,,2.0,4.0,1.0,,,5.0,2.0,4.0,,,1.0,3.0,,4.0,,4.0,,2.0,4.0,4.0,,3.0,,,,,2.0,5.0,,4.0,,,,1.0,2.0,,1.0,
17.0,,,4.0,1.0,2.0,,,,5.0,2.0,,3.0,,1.0,,,5.0,3.0,,,4.0,,,2.0,,4.0,,,1.0,,,4.0,,,,,,,,,2.0,,,,5.0,2.0,5.0,3.0,5.0,5.0
18.0,3.0,,5.0,5.0,,2.0,4.0,,,4.0,,,2.0,,,,3.0,,2.0,3.0,3.0,1.0,1.0,2.0,3.0,,1.0,5.0,,1.0,1.0,1.0,,,,,,5.0,,3.0,5.0,,,,1.0,,2.0,5.0,4.0,5.0
19.0,3.0,2.0,,,5.0,,,2.0,1.0,3.0,,3.0,3.0,,4.0,5.0,1.0,4.0,,,,,5.0,,,,,5.0,,,1.0,,,3.0,,3.0,,1.0,,4.0,2.0,2.0,5.0,2.0,,,,,4.0,3.0
20.0,,1.0,,,3.0,1.0,,,,3.0,4.0,1.0,4.0,,,,2.0,1.0,5.0,5.0,5.0,2.0,2.0,,,,,,5.0,,,4.0,,,2.0,3.0,,,,,5.0,,,2.0,4.0,3.0,1.0,,2.0,
21.0,5.0,,,,5.0,4.0,,4.0,,,,,5.0,2.0,2.0,,2.0,2.0,4.0,2.0,2.0,,2.0,5.0,5.0,,3.0,,2.0,,5.0,3.0,2.0,,1.0,3.0,5.0,,,,,3.0,2.0,,,4.0,2.0,,4.0,
22.0,,1.0,,,5.0,5.0,,2.0,4.0,1.0,5.0,5.0,5.0,5.0,1.0,,,,,,5.0,1.0,,,2.0,3.0,,,2.0,,,,3.0,,,2.0,,,5.0,,,3.0,1.0,3.0,1.0,1.0,3.0,2.0,5.0,1.0
23.0,4.0,2.0,4.0,,3.0,,,,,3.0,3.0,,,5.0,,1.0,,5.0,,,5.0,,1.0,3.0,4.0,4.0,1.0,5.0,1.0,3.0,,3.0,,,,,5.0,,,,4.0,,,2.0,,,,,3.0,5.0
24.0,4.0,,,,,4.0,,4.0,2.0,5.0,3.0,,5.0,5.0,,,1.0,3.0,4.0,,1.0,1.0,,,1.0,3.0,,,,1.0,1.0,5.0,3.0,,,5.0,5.0,,,4.0,5.0,,4.0,1.0,5.0,,2.0,,4.0,
25.0,,,5.0,2.0,5.0,,,3.0,3.0,,2.0,,,4.0,1.0,,,3.0,2.0,5.0,2.0,1.0,,,3.0,5.0,,,3.0,,,,,,,,,,,2.0,,,2.0,2.0,2.0,4.0,2.0,,,2.0
26.0,,5.0,5.0,,3.0,3.0,1.0,4.0,2.0,,,,2.0,5.0,,5.0,3.0,3.0,,2.0,3.0,4.0,,,,,1.0,2.0,,,2.0,,1.0,3.0,,2.0,1.0,,,2.0,3.0,2.0,1.0,4.0,2.0,2.0,,5.0,2.0,
27.0,,5.0,1.0,,,3.0,,,,1.0,,,,4.0,4.0,,,,5.0,,,,5.0,5.0,1.0,2.0,,2.0,2.0,4.0,,,,4.0,4.0,2.0,1.0,,3.0,4.0,,3.0,2.0,2.0,,5.0,5.0,1.0,,3.0
28.0,5.0,1.0,,3.0,,2.0,,,5.0,,3.0,2.0,,,1.0,3.0,5.0,,,3.0,2.0,2.0,,,,,3.0,,,1.0,2.0,1.0,4.0,,,,,,4.0,,2.0,,5.0,3.0,,,2.0,,,5.0
29.0,3.0,,,2.0,,,,,,,,2.0,,4.0,,,2.0,1.0,3.0,,,,2.0,2.0,,5.0,3.0,1.0,,1.0,4.0,5.0,1.0,,3.0,,3.0,5.0,,,5.0,5.0,4.0,5.0,5.0,4.0,2.0,1.0,5.0,
30.0,4.0,5.0,5.0,1.0,4.0,2.0,,4.0,,,5.0,2.0,3.0,,,2.0,,,3.0,,2.0,3.0,5.0,,,1.0,,3.0,,,,4.0,5.0,,,,2.0,,,1.0,,3.0,3.0,,,,4.0,2.0,3.0,
31.0,4.0,3.0,,4.0,,,,5.0,,3.0,3.0,,,3.0,4.0,5.0,,1.0,,1.0,2.0,2.0,1.0,5.0,,4.0,,2.0,,,,5.0,5.0,,1.0,,,5.0,5.0,,4.0,,,,,1.0,3.0,,,
32.0,2.0,,3.0,2.0,,1.0,5.0,4.0,1.0,,1.0,,1.0,,5.0,,,,,,,2.0,,,,,3.0,5.0,3.0,,1.0,4.0,1.0,1.0,3.0,5.0,,,2.0,,5.0,4.0,4.0,1.0,1.0,1.0,,,,3.0
33.0,1.0,,2.0,,,,2.0,,4.0,3.0,2.0,5.0,4.0,4.0,,3.0,,4.0,,5.0,5.0,3.0,5.0,,,5.0,,5.0,5.0,1.0,1.0,,5.0,4.0,2.0,2.0,4.0,,1.0,,,3.0,,5.0,4.0,5.0,,,4.0,3.0
34.0,5.0,3.0,3.0,2.0,3.0,4.0,,5.0,,4.0,,,4.0,,,2.0,,4.0,4.0,1.0,2.0,2.0,5.0,,1.0,,,,3.0,5.0,,,5.0,,1.0,5.0,,5.0,,4.0,1.0,,5.0,,4.0,,,2.0,5.0,2.0
35.0,3.0,,,4.0,,,3.0,,4.0,2.0,4.0,1.0,,,,1.0,,,,2.0,4.0,,4.0,1.0,1.0,3.0,,,,,,2.0,,,,,3.0,,3.0,3.0,,,1.0,3.0,,3.0,4.0,5.0,2.0,
36.0,1.0,3.0,3.0,3.0,,1.0,1.0,3.0,,,5.0,,4.0,,,,,5.0,,,,,,5.0,1.0,,,5.0,,2.0,3.0,,3.0,4.0,3.0,,1.0,,3.0,,,5.0,3.0,,1.0,,1.0,,1.0,
37.0,,2.0,,,4.0,1.0,3.0,2.0,,,,,,2.0,1.0,1.0,4.0,4.0,,1.0,1.0,,2.0,,1.0,1.0,2.0,5.0,4.0,2.0,,1.0,2.0,4.0,,5.0,2.0,3.0,,3.0,,4.0,4.0,3.0,5.0,3.0,2.0,,,4.0
38.0,4.0,,1.0,,5.0,3.0,5.0,,,5.0,,3.0,5.0,,4.0,4.0,1.0,5.0,,4.0,,5.0,,,,,2.0,,,2.0,5.0,5.0,1.0,,,,3.0,,1.0,4.0,,,,5.0,5.0,3.0,,4.0,4.0,5.0
39.0,,4.0,,,,,2.0,1.0,5.0,,,5.0,,,4.0,4.0,,,,2.0,,,,1.0,5.0,3.0,4.0,3.0,,,,5.0,1.0,,,4.0,1.0,4.0,3.0,,5.0,,5.0,5.0,5.0,,1.0,2.0,1.0,3.0
40.0,,,,,5.0,2.0,2.0,4.0,2.0,5.0,,,,5.0,,2.0,4.0,,,4.0,3.0,4.0,2.0,3.0,,,,1.0,1.0,5.0,,4.0,1.0,1.0,2.0,,,4.0,4.0,,3.0,5.0,5.0,1.0,,4.0,4.0,,,
41.0,,,5.0,,5.0,,2.0,3.0,,,,1.0,4.0,4.0,5.0,2.0,4.0,,,,1.0,5.0,4.0,,2.0,,,1.0,5.0,,,2.0,,1.0,4.0,2.0,3.0,,,2.0,5.0,2.0,1.0,2.0,,5.0,,,5.0,
42.0,4.0,,5.0,,5.0,5.0,1.0,,,,,,2.0,,5.0,1.0,1.0,,,4.0,,,,,4.0,5.0,4.0,3.0,4.0,,,5.0,5.0,3.0,,4.0,5.0,2.0,1.0,1.0,,4.0,5.0,5.0,3.0,,,,5.0,
43.0,4.0,2.0,,1.0,,,,5.0,4.0,3.0,,4.0,,,,,1.0,,,,4.0,,2.0,,1.0,2.0,5.0,4.0,3.0,1.0,,5.0,4.0,4.0,,1.0,1.0,1.0,3.0,,,1.0,,,4.0,4.0,5.0,3.0,5.0,
44.0,3.0,,,3.0,,2.0,,2.0,5.0,4.0,,1.0,1.0,,4.0,,3.0,5.0,5.0,,1.0,,5.0,4.0,,1.0,5.0,4.0,,,1.0,,4.0,,,,,,,1.0,,2.0,2.0,,3.0,2.0,,1.0,,3.0
45.0,4.0,,,,,,,4.0,2.0,,,,5.0,,,5.0,,4.0,1.0,4.0,,,1.0,4.0,,5.0,5.0,,,4.0,2.0,1.0,4.0,1.0,1.0,,5.0,,,,3.0,3.0,1.0,4.0,4.0,,1.0,1.0,2.0,
46.0,1.0,1.0,,,,5.0,2.0,5.0,5.0,,5.0,5.0,,,,5.0,1.0,1.0,,,4.0,,,,5.0,,5.0,1.0,3.0,,2.0,5.0,5.0,2.0,,,,,,,2.0,3.0,,1.0,,,3.0,4.0,,
47.0,5.0,,,,,,1.0,,,,,1.0,3.0,,,,4.0,3.0,,,,3.0,3.0,,5.0,3.0,,4.0,2.0,,,,,,2.0,,2.0,,3.0,2.0,,2.0,,,,3.0,3.0,,,
48.0,3.0,5.0,,2.0,2.0,,,,5.0,4.0,,,,,,3.0,,,,,,2.0,,,,,,5.0,,1.0,,3.0,,,4.0,,3.0,,2.0,3.0,2.0,2.0,4.0,,2.0,5.0,2.0,4.0,4.0,
49.0,1.0,3.0,,4.0,1.0,3.0,,2.0,,2.0,,5.0,,2.0,2.0,,5.0,,,1.0,4.0,2.0,4.0,3.0,3.0,4.0,4.0,,2.0,,5.0,5.0,5.0,1.0,4.0,,5.0,,1.0,,,1.0,,,5.0,,5.0,3.0,,3.0
50.0,,5.0,,3.0,5.0,1.0,3.0,4.0,3.0,,,5.0,,,4.0,,,2.0,,2.0,,,3.0,4.0,5.0,5.0,1.0,,3.0,,,1.0,,,,2.0,,2.0,,,4.0,1.0,,3.0,5.0,1.0,3.0,3.0,1.0,3.0
51.0,,,,2.0,,3.0,3.0,3.0,,,,3.0,1.0,,,,,,4.0,2.0,4.0,3.0,,3.0,,,,5.0,,,,,5.0,1.0,,5.0,2.0,4.0,3.0,,,,,5.0,,4.0,,,,4.0
52.0,,4.0,,3.0,4.0,1.0,5.0,2.0,,5.0,2.0,,4.0,2.0,3.0,1.0,,,,4.0,,,3.0,,,1.0,2.0,,,,,2.0,3.0,5.0,4.0,,,,5.0,2.0,,2.0,,,1.0,,5.0,,3.0,
53.0,3.0,,,,2.0,,1.0,4.0,3.0,,,,1.0,3.0,1.0,,1.0,,4.0,,1.0,,5.0,2.0,2.0,5.0,1.0,1.0,1.0,4.0,,,5.0,1.0,1.0,5.0,5.0,3.0,5.0,2.0,,,3.0,5.0,5.0,4.0,3.0,,,
54.0,1.0,3.0,2.0,2.0,3.0,,1.0,3.0,1.0,3.0,,,5.0,5.0,3.0,4.0,,4.0,,5.0,4.0,1.0,2.0,,1.0,5.0,1.0,,5.0,,,,3.0,,5.0,5.0,1.0,5.0,2.0,,1.0,,,1.0,,2.0,,,,3.0
55.0,,,,3.0,1.0,,,,,5.0,,,,3.0,,,1.0,2.0,,,5.0,,,2.0,4.0,,4.0,3.0,2.0,,4.0,,4.0,3.0,1.0,3.0,,,,,4.0,3.0,,,3.0,5.0,2.0,4.0,2.0,5.0
56.0,,1.0,,2.0,,,,,5.0,1.0,,2.0,1.0,1.0,1.0,,,4.0,,,1.0,2.0,5.0,4.0,2.0,3.0,,5.0,,,3.0,2.0,,,,4.0,,,,,5.0,3.0,3.0,,,1.0,4.0,2.0,3.0,
57.0,,1.0,4.0,,,1.0,4.0,,5.0,5.0,,3.0,,,,2.0,,,5.0,2.0,5.0,,,5.0,2.0,,2.0,,,3.0,2.0,,,,,5.0,3.0,5.0,,4.0,,3.0,,3.0,5.0,3.0,2.0,,,
58.0,,2.0,1.0,4.0,,5.0,,,2.0,5.0,,,4.0,,2.0,,1.0,4.0,1.0,2.0,,3.0,,4.0,1.0,4.0,1.0,,3.0,3.0,3.0,5.0,1.0,5.0,4.0,,,5.0,1.0,1.0,2.0,4.0,,3.0,2.0,,2.0,,,
59.0,2.0,4.0,,3.0,1.0,3.0,3.0,5.0,,2.0,,,3.0,,,,5.0,,,1.0,5.0,1.0,,,2.0,5.0,,,2.0,4.0,4.0,2.0,,2.0,1.0,4.0,4.0,1.0,2.0,4.0,1.0,,3.0,5.0,,,,,,
60.0,3.0,5.0,1.0,3.0,5.0,,1.0,,4.0,,1.0,1.0,3.0,5.0,2.0,3.0,2.0,,,,,2.0,,,,2.0,1.0,2.0,5.0,2.0,3.0,2.0,1.0,,,3.0,,2.0,,2.0,2.0,,4.0,,,,4.0,3.0,,
61.0,4.0,,1.0,,,,,5.0,2.0,,,3.0,,4.0,3.0,5.0,1.0,5.0,5.0,,,,,5.0,,5.0,,4.0,2.0,1.0,3.0,4.0,2.0,5.0,1.0,,1.0,5.0,,,1.0,4.0,4.0,3.0,3.0,4.0,,,,
62.0,,,,1.0,3.0,5.0,4.0,2.0,,1.0,3.0,,1.0,3.0,1.0,1.0,1.0,4.0,3.0,2.0,,,,2.0,4.0,,,,,3.0,,2.0,,2.0,5.0,,4.0,2.0,4.0,4.0,,,1.0,3.0,,4.0,4.0,,2.0,
63.0,,5.0,,,5.0,,3.0,1.0,,,1.0,,3.0,,,,,3.0,1.0,,5.0,,1.0,5.0,1.0,3.0,,,,,2.0,5.0,3.0,2.0,,1.0,5.0,,,,1.0,,2.0,1.0,,,,,,
64.0,3.0,,,1.0,,4.0,3.0,,5.0,4.0,4.0,,4.0,1.0,,,,1.0,,2.0,,,,2.0,,2.0,3.0,1.0,1.0,,,5.0,3.0,,3.0,,2.0,2.0,,,3.0,,2.0,5.0,,2.0,,,2.0,
65.0,,1.0,,5.0,1.0,,1.0,5.0,,3.0,,3.0,3.0,,,,,2.0,4.0,1.0,,,2.0,1.0,4.0,4.0,,,3.0,,5.0,3.0,1.0,4.0,,1.0,2.0,2.0,1.0,,5.0,,,2.0,3.0,,,5.0,4.0,
66.0,4.0,,4.0,,3.0,2.0,4.0,5.0,2.0,,2.0,2.0,3.0,3.0,,5.0,4.0,1.0,5.0,3.0,5.0,,4.0,,,,2.0,5.0,,,4.0,3.0,,,5.0,,4.0,3.0,,4.0,5.0,,,,1.0,,5.0,,4.0,1.0
67.0,4.0,3.0,3.0,,,3.0,3.0,,,3.0,,3.0,,1.0,4.0,4.0,,,2.0,2.0,4.0,3.0,3.0,,,,1.0,5.0,,3.0,2.0,1.0,2.0,,,,,,2.0,3.0,2.0,1.0,4.0,1.0,,,5.0,4.0,3.0,5.0
68.0,,,5.0,,,2.0,1.0,4.0,2.0,2.0,,1.0,,3.0,,1.0,1.0,5.0,2.0,3.0,4.0,,,3.0,5.0,5.0,,,3.0,2.0,4.0,2.0,2.0,2.0,1.0,,2.0,,5.0,1.0,,1.0,5.0,,2.0,1.0,,,3.0,5.0
69.0,2.0,,,,2.0,,3.0,,,5.0,,2.0,3.0,,,,2.0,2.0,,4.0,,5.0,,,,4.0,3.0,,3.0,1.0,1.0,,,,4.0,1.0,,5.0,1.0,,3.0,1.0,3.0,3.0,5.0,3.0,1.0,4.0,2.0,
70.0,2.0,5.0,,2.0,,5.0,2.0,4.0,1.0,1.0,,,3.0,,3.0,,2.0,,2.0,2.0,3.0,5.0,5.0,,1.0,,,3.0,1.0,2.0,1.0,5.0,,,2.0,,,2.0,,3.0,,,,,5.0,3.0,,,,
71.0,4.0,5.0,2.0,1.0,,3.0,,5.0,,2.0,1.0,4.0,1.0,4.0,2.0,,5.0,,5.0,4.0,,,3.0,2.0,2.0,2.0,,,5.0,,1.0,4.0,4.0,4.0,2.0,,3.0,5.0,,,,3.0,2.0,4.0,,4.0,,2.0,2.0,
72.0,,1.0,2.0,3.0,,4.0,1.0,4.0,,5.0,,4.0,4.0,2.0,3.0,,,3.0,4.0,,4.0,3.0,4.0,2.0,4.0,5.0,,5.0,2.0,,4.0,5.0,,3.0,2.0,,2.0,1.0,,2.0,,4.0,3.0,,1.0,2.0,1.0,,2.0,2.0
73.0,1.0,4.0,4.0,1.0,,4.0,3.0,,4.0,2.0,4.0,,5.0,4.0,5.0,,,1.0,1.0,,,4.0,5.0,5.0,2.0,5.0,2.0,4.0,,,,5.0,,1.0,3.0,,2.0,,4.0,1.0,,,4.0,,,2.0,3.0,3.0,,1.0
74.0,,3.0,1.0,5.0,,2.0,1.0,4.0,4.0,,,1.0,,2.0,,,,,1.0,2.0,4.0,,1.0,,4.0,,3.0,,4.0,3.0,,,1.0,5.0,1.0,4.0,,,,2.0,3.0,,4.0,2.0,,,,2.0,5.0,5.0
75.0,4.0,4.0,1.0,,1.0,,2.0,5.0,1.0,4.0,,1.0,,,,5.0,,1.0,4.0,3.0,,5.0,1.0,,2.0,1.0,3.0,3.0,2.0,4.0,,1.0,,,3.0,1.0,2.0,,1.0,2.0,5.0,,,1.0,3.0,,,,,5.0
76.0,1.0,3.0,,5.0,,,2.0,,4.0,3.0,,3.0,5.0,,,,,,,,,,2.0,4.0,,3.0,4.0,,4.0,,1.0,3.0,,3.0,,3.0,,,,,1.0,5.0,,,4.0,,2.0,3.0,2.0,3.0
77.0,3.0,1.0,1.0,,,2.0,1.0,2.0,2.0,,,4.0,2.0,,,1.0,1.0,,4.0,1.0,2.0,4.0,2.0,1.0,1.0,,3.0,,,,1.0,,4.0,,1.0,,,,,2.0,,4.0,,,,4.0,2.0,,,2.0
78.0,4.0,,,3.0,2.0,,,,5.0,5.0,,,2.0,2.0,,,5.0,,,4.0,4.0,,4.0,4.0,3.0,,3.0,2.0,4.0,2.0,,5.0,3.0,3.0,3.0,5.0,,3.0,1.0,2.0,,,5.0,4.0,5.0,4.0,4.0,1.0,,3.0
79.0,,1.0,5.0,4.0,1.0,4.0,2.0,1.0,3.0,1.0,,3.0,2.0,2.0,4.0,,,,5.0,3.0,5.0,,2.0,,2.0,,3.0,2.0,2.0,5.0,,2.0,,,,,4.0,4.0,3.0,2.0,1.0,,4.0,,1.0,,2.0,,1.0,
80.0,2.0,3.0,4.0,,5.0,3.0,,,4.0,,,,,3.0,1.0,1.0,5.0,4.0,,,,,1.0,,4.0,1.0,3.0,,4.0,,3.0,,,4.0,,3.0,5.0,,,,5.0,,,,,3.0,1.0,,,
81.0,,,,5.0,,1.0,2.0,3.0,1.0,,3.0,,,,4.0,3.0,3.0,3.0,2.0,1.0,2.0,,,,,,5.0,,4.0,2.0,5.0,5.0,5.0,5.0,2.0,,2.0,,,2.0,1.0,,3.0,2.0,,,1.0,4.0,3.0,2.0
82.0,,,3.0,,2.0,,1.0,4.0,,,,,,1.0,,,,4.0,,,1.0,,5.0,,,5.0,,,5.0,,,4.0,2.0,5.0,,,2.0,,2.0,,,3.0,5.0,1.0,1.0,,,2.0,,4.0
83.0,,4.0,4.0,1.0,,3.0,2.0,,,2.0,,,4.0,,,5.0,1.0,,2.0,,4.0,,3.0,5.0,,,5.0,,2.0,,,,,3.0,1.0,4.0,1.0,,5.0,1.0,1.0,,4.0,4.0,,3.0,,,,5.0
84.0,,,,4.0,2.0,,,1.0,4.0,1.0,2.0,3.0,,,5.0,5.0,,4.0,,,,1.0,,1.0,5.0,4.0,2.0,2.0,,1.0,4.0,3.0,,5.0,1.0,,,1.0,1.0,,,,,1.0,5.0,,5.0,,5.0,
85.0,4.0,3.0,,2.0,3.0,2.0,,,1.0,5.0,4.0,2.0,1.0,,3.0,,1.0,4.0,1.0,2.0,1.0,1.0,2.0,5.0,,5.0,5.0,,2.0,2.0,3.0,,,,5.0,,,,,,1.0,4.0,,,2.0,,,,,5.0
86.0,,2.0,,1.0,2.0,,2.0,,2.0,,,2.0,,2.0,3.0,2.0,1.0,1.0,,2.0,,5.0,,,,,1.0,3.0,,2.0,3.0,,,4.0,2.0,2.0,5.0,5.0,,4.0,,,3.0,3.0,,3.0,,2.0,,
87.0,,5.0,1.0,1.0,,5.0,4.0,,2.0,,,,2.0,3.0,,1.0,5.0,,5.0,4.0,1.0,,,,1.0,4.0,2.0,,1.0,1.0,,5.0,,,1.0,,1.0,5.0,2.0,4.0,1.0,,,,,3.0,,,1.0,1.0
88.0,4.0,1.0,2.0,,2.0,4.0,4.0,5.0,,5.0,5.0,,3.0,4.0,,2.0,1.0,4.0,1.0,5.0,,,4.0,,,5.0,,,5.0,3.0,5.0,1.0,5.0,4.0,5.0,,5.0,,,5.0,4.0,,1.0,2.0,5.0,2.0,,,,5.0
89.0,,,,1.0,5.0,,,2.0,,,,2.0,3.0,,,,,2.0,,3.0,1.0,,1.0,,1.0,1.0,,,2.0,3.0,4.0,,,,,,,,,4.0,,,4.0,3.0,2.0,,4.0,2.0,1.0,5.0
90.0,,5.0,1.0,1.0,2.0,1.0,,3.0,,1.0,,1.0,2.0,2.0,,,,,3.0,2.0,,3.0,2.0,,,,,,3.0,3.0,,5.0,4.0,,1.0,,,4.0,4.0,,3.0,3.0,,,3.0,5.0,5.0,3.0,,
91.0,2.0,,,2.0,,,,1.0,,1.0,,,,4.0,3.0,,4.0,,5.0,1.0,,3.0,3.0,3.0,3.0,4.0,,,2.0,,,,5.0,2.0,4.0,4.0,,4.0,2.0,4.0,1.0,5.0,4.0,,3.0,,,4.0,3.0,4.0
92.0,4.0,,,,1.0,,4.0,2.0,4.0,,1.0,1.0,,,3.0,5.0,3.0,,,5.0,,,5.0,,5.0,,5.0,2.0,,3.0,2.0,,,4.0,2.0,5.0,4.0,3.0,3.0,4.0,2.0,,2.0,5.0,4.0,5.0,,2.0,,
93.0,3.0,2.0,,,3.0,1.0,,5.0,2.0,5.0,5.0,,1.0,4.0,4.0,,1.0,,3.0,,3.0,5.0,,3.0,4.0,4.0,1.0,,,5.0,5.0,2.0,,2.0,,,5.0,,2.0,,,,1.0,4.0,4.0,3.0,,4.0,2.0,
